Anlage;Name;Bereich;Bezirksnummer;Bezirksname;Stadtteil;Art;URL;Koordinaten;Straße;Postleitzahl;Ort;Koordinate Nord;Koordinate Ost;Google-Maps Link
Sportanlage;Fitnessparcours Freinberg;Freinberg;9;Froschberg;Freinberg, Bauernberg und Froschberg;Fitnessanlage;;;;;;48 303 139;14 262 694;https://www.google.at/maps/place/48.303139,14.262694
Sportanlage;Beach-Volleyball-Anlage Am Damm;Jugendspielwiese am Damm;2;Urfahr;Urfahr;Beach Volleyball;;POINT (14.294362 48.318145);;;;48 318 145;14 294 362;https://www.google.at/maps/place/48.318145,14.294362
Sportanlage;Beach-Volleyball-Anlage Bindermichlpark;Landschaftspark Bindermichl ;11;Spallerhof;Bindermichl/Spallerhof;Beach Volleyball;;POINT (14.295618 48.271523);;;;48 271 393;14 295 226;https://www.google.at/maps/place/48.271393,14.295226
Sportanlage;Beach-Volleyball-Anlage Franckviertel;Ing.-Stern-Straße;7;Franckviertel;Franckviertel;Beach Volleyball;;POINT (14.3165 48.294117);Ing.-Stern-Straße 45 - 47;4020;Linz;48 294 563;14 316 456;https://www.google.at/maps/place/48.294563,14.316456
Sportanlage;Beach-Volleyball-Anlage Hummelhofbad;Hummelhofbad;10;Bindermichl-Keferfeld;Bindermichl/Spallerhof;Beach Volleyball;;POINT (14.290295 48.275785);Maderspergerstraße 2;4020;Linz;48 277 965;14 291 616;https://www.google.at/maps/place/48.277965,14.291616
Sportanlage;Beach-Volleyball-Anlage Panholzerweg;Panholzerweg;15;Ebelsberg;Ebelsberg/Pichling;Beach Volleyball;;POINT (14.331441 48.250839);;;;48 250 753;14 331 303;https://www.google.at/maps/place/48.250753,14.331303
Sportanlage;Beach-Volleyball-Anlage Panuliwiese;Panuliwiese;8;Bulgariplatz;Bindermichl/Spallerhof;Beach Volleyball;;POINT (14.303781 48.282921);;;;48 282 967;14 304 624;https://www.google.at/maps/place/48.282967,14.304624
Sportanlage;Beach-Volleyball-Anlage Pichling;Traundorfer Straße;16;Pichling;Ebelsberg/Pichling ;Beach Volleyball;;POINT (14.379697 48.24596);Traundorfer Straße 297;4030;Linz;48 246 322;14 379 826;https://www.google.at/maps/place/48.246322,14.379826
Sportanlage;Beach-Volleyball-Anlage Pichlingersee;Pichlingersee;16;Pichling;Ebelsberg/Pichling ;Beach Volleyball;;POINT (14.380914 48.238295);Wiener Straße 933;4030;Linz;48 237 632;14 380 424;https://www.google.at/maps/place/48.237632,14.380424
Sportanlage;Beach-Volleyball-Anlage Sportpark Auwiesen;Sportpark Auwiesen;13;Kleinmünchen-Auwiesen;Auwiesen/Kleinmünchen ;Beach Volleyball;;POINT (14.301211 48.244478);Auwiesenstraße 202;4030;Linz;48 244 176;14 301 967;https://www.google.at/maps/place/48.244176,14.301967
