Einrichtung;Adresse;Internet_Adresse;Kategorie;eindeutige_Adresse;X;Y;Lat;Lon
Hort Biesenfeld;Dornacher Straﬂe 33, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122479;Hort;Dornacher Straﬂe 33;72090;355475;48,33339955;14,30484395
Hort der Franziskanerinnen;Brucknerstraﬂe 8, 4020 Linz;;Hort;Brucknerstraﬂe 8;71650;350441;48,28818474;14,29805917
Hort der Linzer Kinderfreunde;Einfaltstraﬂe 8, 4020 Linz;http://www.kinderfreunde.cc;Hort;Einfaltstraﬂe 8;72368;348561;48,27119881;14,3074126
Hort der Linzer Kinderfreunde;Ziegeleistraﬂe 17, 4020 Linz;http://www.kinderfreunde.cc;Hort;Ziegeleistraﬂe 17;70485;350639;48,29009536;14,28239536
Hort des Landes Oberˆsterreich;Untere Donaul‰nde 66, 4020 Linz;;Hort;Untere Donaul‰nde 66;71445;352968;48,31093011;14,2957229
Hort Dorfhalleschule;F¸chselstraﬂe 9a, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122480;Hort;F¸chselstraﬂe 9a;72944;350857;48,29177815;14,31556537
Hort Edmund Aigner;H‰ndelstraﬂe 42a, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122481;Hort;H‰ndelstraﬂe 42a;69938;350554;48,28939146;14,27501101
Hort Fechterweg;Stefan-Fechter-Weg 5, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122482;Hort;Stefan-Fechter-Weg 5;71234;352561;48,30729414;14,29281031
Hort Goetheschule;S¸dtirolerstraﬂe 13-15, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122483;Hort;S¸dtirolerstraﬂe 13;71342;351452;48,29731011;14,29407937
Hort Hauderweg;Hauderweg 8, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122484;Hort;Hauderweg 8;74035;345430;48,24285369;14,32931984
Hort Jahnschule;Jahnstraﬂe 7, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122486;Hort;Jahnstraﬂe 7;70485;353156;48,31272781;14,2828138
Hort Johann-Wilhelm-Klein-Straﬂe;Johann-Wilhelm-Klein-Straﬂe 60, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122485;Hort;Johann-Wilhelm-Klein-Straﬂe 60;72684;355747;48,33577755;14,31290099
Hort Kapuzinerstraﬂe;Kapuzinerstraﬂe 33, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122487;Hort;Kapuzinerstraﬂe 33;70303;351554;48,29834306;14,28009474
Hort Karlhofschule- Integrationshort;Teistlergutstraﬂe 23a, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122506;Hort;Teistlergutstraﬂe 23a;70305;354064;48,32091233;14,28053808
Hort Khevenh¸llerstraﬂe;Khevenh¸llerstraﬂe 19, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122488;Hort;Khevenh¸llerstraﬂe 19;71909;351843;48,300762;14,30178652
Hort Korefschule;Ramsauerstraﬂe 61, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122489;Hort;Ramsauerstraﬂe 61;70978;348676;48,27238949;14,28870981
Hort Krauﬂstraﬂe;Krauﬂstraﬂe 8, 4020 Linz;;Hort;Krauﬂstraﬂe 8;72053;350423;48,28797734;14,30348594
Hort Leonfeldner Straﬂe;Leonfeldner Straﬂe 99d, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122491;Hort;Leonfeldner Straﬂe 99d;70695;355164;48,33076001;14,28597979
Hort Mozartschule;Mozartstraﬂe 30, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122492;Hort;Mozartstraﬂe 30;71480;351961;48,30187143;14,29602486
Hort Pestalozzistraﬂe;Pestalozzistraﬂe 96, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122493;Hort;Pestalozzistraﬂe 96;72769;346681;48,25424844;14,31249165
Hort Pichlingschule;Rathfeldstraﬂe 69, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122494;Hort;Rathfeldstraﬂe 69;76820;345592;48,24398038;14,36683901
Hort Raimundstraﬂe;Raimundstraﬂe 17, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122495;Hort;Raimundstraﬂe 17;71862;350675;48,29026489;14,3009552
Hort Rennerschule- Integrationshort;Flˆtzerweg 63, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122507;Hort;Flˆtzerweg 63;71472;346168;48,24978257;14,29494181
Hort Robinson;Kaltenhauserstraﬂe 4, 4040 Linz;;Hort;Kaltenhauserstraﬂe 4;70936;354135;48,32148058;14,28905723
Hort Rohrmayrstraﬂe;Rohrmayrstraﬂe 1, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122496;Hort;Rohrmayrstraﬂe 1;71451;346370;48,25160129;14,29469303
Hort Rˆmerbergschule;Ritzbergerstraﬂe 2, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122497;Hort;Ritzbergerstraﬂe 2;69801;351926;48,30174336;14,27339088
Hort Sch‰rfschule;Resslstraﬂe 10, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122498;Hort;Resslstraﬂe 10;74228;345348;48,24209389;14,33190359
Hort Scharm¸hlwinkel- Integrationshort;Scharm¸hlwinkel 11, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122508;Hort;Scharm¸hlwinkel 11;72148;346228;48,25024583;14,30405326
Hort Siemensschule;Siemensstraﬂe 58, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122499;Hort;Siemensstraﬂe 58;70624;345963;48,24803387;14,28349074
Hort Solar City;Heliosallee 140-142, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122500;Hort;Heliosallee 140;76382;346901;48,25580323;14,36117803
Hort Spallerhofschule;Tungassingerstraﬂe 23, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122501;Hort;Tungassingerstraﬂe 23;71806;348903;48,27433771;14,29990084
Hort Straﬂlandweg;Straﬂlandweg 16, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122502;Hort;Straﬂlandweg 16;72879;346937;48,25653776;14,31401665
Hort und ‹bungshort der Kreuzschwestern;Stockhofstraﬂe 10, 4020 Linz;;Hort;Stockhofstraﬂe 10;70730;351408;48,29698287;14,28582474
Hort Waldorfschule;Baumbachstraﬂe 11, 4020 Linz;;Hort;Baumbachstraﬂe 11;70626;351816;48,30066311;14,2844912
Hort Weberschule;Webergasse 1, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122503;Hort;Webergasse 1;70179;352669;48,30838267;14,27860825
Hort Wieningerstraﬂe;Wieningerstraﬂe 16, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122504;Hort;Wieningerstraﬂe 16;70503;348012;48,2664717;14,28220161
Hort Zeppelinschule;Franz-Kurz-Straﬂe 3, 4030 Linz;;Hort;Franz-Kurz-Straﬂe 3;73007;346763;48,25495851;14,31571029
"Junges Wohnen im Sch¸lerhort ""Guter Hirte""";Baumbachstraﬂe 28, 4020 Linz;;Hort;Baumbachstraﬂe 28;70469;351815;48,30067154;14,28237517
Ordenshort Kollegium Aloisianum ;Freinbergstraﬂe 32 - 34, 4020 Linz;;Hort;Freinbergstraﬂe 32;69423;351314;48,29628174;14,26819631
"Pfarrcaritashort Linz ""St. Margarethen""";Zaubertalstraﬂe 9a, 4020 Linz;;Hort;Zaubertalstraﬂe 9a;68770;352441;48,30648659;14,2595794
