Einrichtung;Adresse;Internet_Adresse;Kategorie;X;Y;eindeutige_Adresse;Lat;Lon
Krabbelstubbengruppe Dauphinestraße im Kindergarten;Dauphinestraße 216, 4030 Linz;;Krabbelstube;70894;346621;Dauphinestraße 216;48,25392054;14,28723547
Krabbelstube Allendeplatz;Allendeplatz 2, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122560;Krabbelstube;72598;346240;Allendeplatz 2;48,25030257;14,31011389
Krabbelstube Anastasius-Grün-Straße;Anastasius-Grün-Straße 2, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122561;Krabbelstube;71469;350925;Anastasius-Grün-Straße 2;48,29255715;14,29570201
Krabbelstube Bahrgasse;Bahrgasse 1, 4020 Linz;;Krabbelstube;71514;350443;Bahrgasse 1;48,28821803;14,29622711
Krabbelstube Büchlholzweg;Büchlholzweg 18, 4040 Linz;;Krabbelstube;69818;354715;Büchlholzweg 18;48,32681974;14,27407956
Krabbelstube Don-Bosco-Weg;Don-Bosco-Weg 4 - 6, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122562;Krabbelstube;72896;350835;Don-Bosco-Weg 4;48,29158584;14,31491482
Krabbelstube Freistädter Straße;Freistädter Straße 42, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122563;Krabbelstube;70638;353779;Freistädter Straße 42;48,31831272;14,28498012
Krabbelstube Hartmayrgut;Am Hartmayrgut 12, 4040 Linz;;Krabbelstube;70957;353817;Am Hartmayrgut 12;48,31861884;14,28928708
Krabbelstube Haselgrabenweg;Haselgrabenweg 30, 4040 Linz;;Krabbelstube;71488;355921;Haselgrabenweg 30;48,33747796;14,29680107
Krabbelstube Heliosallee;Heliosallee 84, 4030 Linz;;Krabbelstube;76113;346909;Heliosallee 84;48,2559074;14,35755744
Krabbelstube Kreßweg;Kreßweg 13, 4020 Linz;;Krabbelstube;71169;348815;Kreßweg 13;48,27361802;14,29130576
Krabbelstube Leonfeldner Straße;Leonfeldner Straße 100a, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122564;Krabbelstube;70943;355069;Leonfeldner Straße 100a;48,32987812;14,28930809
Krabbelstube Lunzerstraße;Lunzerstraße 66, 4020 Linz;;Krabbelstube;74906;347987;Lunzerstraße 66;48,26574373;14,34149545
Krabbelstube Ramundstraße;Raimundstraße 21, 4020 Linz;;Krabbelstube;71906;350693;Raimundstraße 21;48,29042177;14,3015511
Krabbelstube Rohrmayrstraße;Rohrmayrstraße 1, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122565;Krabbelstube;71452;346343;Rohrmayrstraße 1;48,2513584;14,29470196
Krabbelstube Scharmühlwinkel;Scharmühlwinkel 11, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122566;Krabbelstube;72152;346228;Scharmühlwinkel 11;48,25024537;14,30410712
Krabbelstube Steingasse;Steingasse 4, 4020 Linz;;Krabbelstube;70737;351986;Steingasse 4;48,30217937;14,2860155
Krabbelstube Tungassingerstraße;Tungassingerstraße 21, 4020 Linz;;Krabbelstube;72071;348975;Tungassingerstraße 21;48,27495515;14,30348257
Krabbelstube Untere Donaulände;Untere Donaulände 66, 4020 Linz;;Krabbelstube;71445;352967;Untere Donaulände 66;48,31092112;14,29572273
Krabbelstubengruppe Allendeplatz im Kindergarten;Allendeplatz 2, 4030 Linz;;Krabbelstube;72591;346240;Allendeplatz 2;48,25030336;14,31001965
Krabbelstubengruppe Bürgerstraße im Kindergarten;Bürgerstraße 44, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122567;Krabbelstube;71538;351700;Bürgerstraße 44;48,29951804;14,29676249
