Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
0;0;ZumTesten;0;0;20190205;0;0;0;0;70000;350000;14,2757549011314;48,2844031941042
870;021a;Quercus;sp.; -;Eiche;6;3;31;L;72431;354949;14,3093549528352;48,3286271802142
572;127;Liriodendron;tulipifera; -;Tulpenbaum;5;2;21;L;71171;353742;14,2921648325343;48,3179178510249
252;010a;Acer;platanoides; -;Spitz-Ahorn;7;2;31;L;73269;355814;14,3208008403556;48,3363133180099
1284;011;Prunus;armeniaca;Bergeron;Marille - Bergeron;1;1;6;L;70378;352703;14,2812970577991;48,3086702202435
7;170;Acer;platanoides; -;Spitz-Ahorn;8;3;42;L;73294;355815;14,3211363537811;48,3363151899086
792;094;Ulmus;glabra; -;Berg-Ulme;8;6;55;L;70010;351920;14,2762000379419;48,3016692810869
7;167;Fraxinus;excelsior; -;Gemeine Esche;7;2;27;L;73294;355771;14,3211342411936;48,3359221855984
708;012a;Tilia;cordata; -;Winter-Linde;5;3;25;L;71139;351492;14,2913503578499;48,2976925965220
492;026a;Tilia;sp.;-;Linde;5;1;25;L;69367;351564;14,2674824490856;48,2985358836292
1368;010a;Tilia;cordata; -;Winter-Linde;4;2;15;L;70541;349915;14,2830294441903;48,2835790981751
1368;011a;Tilia;cordata; -;Winter-Linde;3;2;15;L;70557;349931;14,2832476621149;48,2837211928219
673;037a;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;2;1;12;N;71480;355562;14,2966324320294;48,3342508787131
673;027a;Betula;pendula; -;Weiﬂ-Birke;4;1;10;L;71530;355572;14,2973047629846;48,3343312568969
713;008a;Acer;platanoides; -;Spitz-Ahorn;4;2;17;L;70673;350089;14,2848367729154;48,2851290243443
878;009a;Tilia;euchlora; -;Krim-Linde;5;2;30;L;72206;349162;14,3053327226633;48,2766213666570
878;010a;Tilia;euchlora; -;Krim-Linde;5;2;30;L;72206;349170;14,3053401646096;48,2766905730437
647;003a;Acer;cappadocicum;Rubrum;Kolchischer Blut-Ahorn;5;2;20;L;71744;356003;14,3002664788187;48,3381842176433
