Einrichtung;Adresse;Internet_Adresse;Kategorie;Y;X;eindeutige_Adresse;Lat;Lon
"Heilpädogogischer Kindergarten ""St. Severin""";Röntgenstraße 1, 4020 Linz;http://www.ooe-kindernet.at/xchg/SID-1CA23613-05562955/hs.xsl/178_DEU_HTML.htm;Kindergarten;352855;71837;Röntgenstraße 1;48,30986983;14,30098771
Kinderfreunde-Kindergarten;Edisonstraße 30, 4020 Linz;http://www.kinderfreunde.cc;Kindergarten;349239;71746;Edisonstraße 30;48,27736574;14,29914942
Kinderfreunde-Kindergarten;Einfaltstraße 8, 4020 Linz;http://www.kinderfreunde.cc;Kindergarten;348561;72363;Einfaltstraße 8;48,27119938;14,30734526
Kinderfreunde-Kindergarten;Ing.-Stern-Straße 35, 4020 Linz;http://www.kinderfreunde.cc;Kindergarten;351241;72984;Ing.-Stern-Straße 35;48,2952264;14,31617043
Kinderfreunde-Kindergarten;Zaunmüllerstraße 4, 4020 Linz;http://www.kinderfreunde.cc;Kindergarten;350036;72233;Zaunmüllerstraße 4;48,28447708;14,30584527
Kindergarten Allendeplatz;Allendeplatz 2, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122512;Kindergarten;346240;72592;Allendeplatz 2;48,25030325;14,31003311
Kindergarten Anastasius-Grün-Straße;Anastasius-Grün-Straße 4, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122513;Kindergarten;350947;71496;Anastasius-Grün-Straße 4;48,29275194;14,29606953
Kindergarten Auwiesenstraße;Auwiesenstraße 130, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122514;Kindergarten;345734;71993;Auwiesenstraße 130;48,24582139;14,30188277
Kindergarten Auwiesenstraße;Auwiesenstraße 22-24, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122515;Kindergarten;346170;72607;Auwiesenstraße 22;48,24967211;14,31022311
Kindergarten Auwiesenstraße;Auwiesenstraße 60, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122516;Kindergarten;345919;72195;Auwiesenstraße 60;48,24746201;14,30463358
Kindergarten Breitwiesergutstraße;Breitwiesergutstraße 7, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122517;Kindergarten;350058;71856;Breitwiesergutstraße 7;48,28471762;14,30076986
Kindergarten Bürgerstraße;Bürgerstraße 44, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122518;Kindergarten;351700;71533;Bürgerstraße 44;48,29951861;14,29669511
Kindergarten Commendastraße;Commendastraße 3, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122519;Kindergarten;355612;72126;Commendastraße 3;48,33462732;14,30535278
Kindergarten Cremeristraße;Cremeristraße 10, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122520;Kindergarten;351452;72834;Cremeristraße 10;48,29714087;14,31418537
Kindergarten Darrgutstraße;Darrgutstraße 16, 4020 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122521;Kindergarten;351832;72337;Darrgutstraße 16;48,30061451;14,30755272
Kindergarten Dauphinestraße;Dauphinestraße 216, 4030 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=123040;Kindergarten;346621;70894;Dauphinestraße 216;48,25392054;14,28723547
Kindergarten Dornach;Dornacher Straße 7, 4040 Linz;http://portal.linz.gv.at/Serviceguide/viewChapter.html?chapterid=122522;Kindergarten;355254;72566;Dornacher Straße 7;48,33135814;14,3112251
